epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,208.291,0.8472,0.96092,0.53882,0.95727,0.99053,1,0.995,0.79506,0.99053,1,0.995,0.63786,0.61015,2.08521,0.46555,0.95355,0.0011288,0.0011288,0.0011288
90,210.231,0.88126,1.0058,0.53457,0.98495,0.9948,1,0.995,0.84074,0.9948,1,0.995,0.69041,0.603,1.68348,0.4542,0.93139,0.0011189,0.0011189,0.0011189
91,212.793,0.86968,1.14309,0.54692,0.94491,0.99488,1,0.995,0.86943,0.99488,1,0.995,0.68811,0.58631,1.42762,0.43292,0.94358,0.001109,0.001109,0.001109
92,215.166,0.82439,0.92696,0.50575,0.95698,0.9948,1,0.995,0.78363,0.9948,1,0.995,0.69932,0.67288,1.3746,0.45844,0.97557,0.0010991,0.0010991,0.0010991
93,217.122,0.77099,1.01443,0.51736,0.94007,0.99456,1,0.995,0.7929,0.90474,0.90909,0.91384,0.67796,0.73743,1.35169,0.48521,1.01563,0.0010892,0.0010892,0.0010892
94,219.056,0.83081,0.9986,0.52126,0.95552,0.99476,1,0.995,0.81576,0.99476,1,0.995,0.73659,0.73775,1.27554,0.4762,1.02734,0.0010793,0.0010793,0.0010793
95,221.006,0.77538,0.97086,0.50945,0.93351,0.99483,1,0.995,0.81181,0.99483,1,0.995,0.70855,0.59862,1.17692,0.43491,0.96986,0.0010694,0.0010694,0.0010694
96,222.99,0.77098,0.90509,0.48969,0.94187,0.99474,1,0.995,0.81933,0.99474,1,0.995,0.69091,0.59533,1.25405,0.41611,0.97768,0.0010595,0.0010595,0.0010595
97,225.237,0.79319,1.05504,0.50542,0.93311,0.99473,1,0.995,0.8386,0.99473,1,0.995,0.7396,0.70443,1.19227,0.4014,0.99029,0.0010496,0.0010496,0.0010496
98,227.933,0.80416,0.98918,0.49238,0.94869,0.99466,1,0.995,0.84534,0.99466,1,0.995,0.78039,0.73717,1.0818,0.43914,0.99563,0.0010397,0.0010397,0.0010397
